,date,time_passed,SumofNewI,SumofNewY
0,2020-01-01,0,122.0,89.0
1,2020-01-02,1,101.0,68.0
2,2020-01-03,2,72.0,55.0
3,2020-01-04,3,140.0,50.0
4,2020-01-05,4,90.0,28.0
5,2020-01-06,5,86.0,32.0
6,2020-01-07,6,43.0,20.0
7,2020-01-08,7,40.0,22.0
8,2020-01-09,8,20.0,16.0
9,2020-01-10,9,28.0,22.0
10,2020-01-11,10,17.0,12.0
11,2020-01-12,11,27.0,19.0
12,2020-01-13,12,28.0,22.0
13,2020-01-14,13,76.0,13.0
14,2020-01-15,14,38.0,30.0
15,2020-01-16,15,12.0,11.0
16,2020-01-17,16,20.0,13.0
17,2020-01-18,17,23.0,16.0
18,2020-01-19,18,26.0,20.0
19,2020-01-20,19,34.0,28.0
20,2020-01-21,20,67.0,12.0
21,2020-01-22,21,10.0,8.0
22,2020-01-23,22,16.0,13.0
23,2020-01-24,23,20.0,20.0
24,2020-01-25,24,24.0,20.0
25,2020-01-26,25,29.0,19.0
26,2020-01-27,26,30.0,22.0
27,2020-01-28,27,29.0,22.0
28,2020-01-29,28,35.0,25.0
29,2020-01-30,29,41.0,37.0
30,2020-01-31,30,39.0,32.0
31,2020-02-01,31,72.0,52.0
32,2020-02-02,32,23.0,19.0
33,2020-02-03,33,38.0,29.0
34,2020-02-04,34,79.0,10.0
35,2020-02-05,35,29.0,17.0
36,2020-02-06,36,30.0,20.0
37,2020-02-07,37,41.0,16.0
38,2020-02-08,38,23.0,18.0
39,2020-02-09,39,13.0,7.0
40,2020-02-10,40,52.0,39.0
41,2020-02-11,41,56.0,13.0
42,2020-02-12,42,47.0,28.0
43,2020-02-13,43,28.0,18.0
44,2020-02-14,44,48.0,34.0
45,2020-02-15,45,69.0,62.0
46,2020-02-16,46,29.0,22.0
47,2020-02-17,47,44.0,42.0
48,2020-02-18,48,109.0,39.0
49,2020-02-19,49,61.0,46.0
50,2020-02-20,50,81.0,64.0
51,2020-02-21,51,59.0,46.0
52,2020-02-22,52,55.0,50.0
53,2020-02-23,53,75.0,65.0
54,2020-02-24,54,143.0,119.0
55,2020-02-25,55,164.0,94.0
56,2020-02-26,56,128.0,107.0
57,2020-02-27,57,122.0,105.0
58,2020-02-28,58,218.0,194.0
59,2020-02-29,59,151.0,145.0
60,2020-03-01,60,574.0,556.0
61,2020-03-02,61,402.0,381.0
62,2020-03-03,62,475.0,411.0
63,2020-03-04,63,496.0,474.0
64,2020-03-05,64,518.0,497.0
65,2020-03-06,65,698.0,653.0
66,2020-03-07,66,804.0,749.0
67,2020-03-08,67,910.0,878.0
68,2020-03-09,68,1599.0,1524.0
69,2020-03-10,69,2045.0,1920.0
70,2020-03-11,70,2323.0,2117.0
71,2020-03-12,71,2891.0,2482.0
72,2020-03-13,72,3843.0,3225.0
73,2020-03-14,73,3852.0,3226.0
74,2020-03-15,74,4985.0,4175.0
75,2020-03-16,75,7641.0,5769.0
76,2020-03-17,76,8144.0,5766.0
77,2020-03-18,77,9091.0,6155.0
78,2020-03-19,78,9050.0,5498.0
79,2020-03-20,79,10960.0,7209.0
80,2020-03-21,80,8484.0,5773.0
81,2020-03-22,81,7940.0,5518.0
82,2020-03-23,82,12018.0,7859.0
83,2020-03-24,83,11405.0,6346.0
84,2020-03-25,84,12343.0,6848.0
85,2020-03-26,85,12535.0,6536.0
86,2020-03-27,86,13296.0,7303.0
87,2020-03-28,87,10592.0,6388.0
88,2020-03-29,88,9989.0,5737.0
89,2020-03-30,89,15788.0,7888.0
90,2020-03-31,90,13485.0,6345.0
91,2020-04-01,91,16010.0,8757.0
92,2020-04-02,92,13744.0,6337.0
93,2020-04-03,93,14872.0,7060.0
94,2020-04-04,94,11457.0,6175.0
95,2020-04-05,95,10448.0,5699.0
96,2020-04-06,96,16293.0,7557.0
97,2020-04-07,97,15154.0,6232.0
98,2020-04-08,98,15002.0,6367.0
99,2020-04-09,99,12898.0,5597.0
100,2020-04-10,100,13430.0,6929.0
101,2020-04-11,101,10289.0,5166.0
102,2020-04-12,102,9245.0,5434.0
103,2020-04-13,103,12346.0,7299.0
104,2020-04-14,104,13153.0,6156.0
105,2020-04-15,105,14104.0,6519.0
106,2020-04-16,106,12681.0,5765.0
107,2020-04-17,107,13312.0,6447.0
108,2020-04-18,108,9850.0,5879.0
109,2020-04-19,109,9459.0,5556.0
110,2020-04-20,110,15404.0,8164.0
111,2020-04-21,111,12840.0,5903.0
112,2020-04-22,112,13233.0,6223.0
113,2020-04-23,113,12536.0,6051.0
114,2020-04-24,114,13484.0,6774.0
115,2020-04-25,115,11247.0,5999.0
116,2020-04-26,116,9488.0,5649.0
117,2020-04-27,117,14381.0,7518.0
118,2020-04-28,118,14820.0,6413.0
119,2020-04-29,119,13280.0,5564.0
120,2020-04-30,120,12738.0,5420.0
121,2020-05-01,121,13736.0,6976.0
122,2020-05-02,122,8826.0,5133.0
123,2020-05-03,123,7851.0,4742.0
124,2020-05-04,124,12959.0,6497.0
125,2020-05-05,125,12589.0,5512.0
126,2020-05-06,126,12113.0,5377.0
127,2020-05-07,127,12081.0,4951.0
128,2020-05-08,128,11153.0,5436.0
129,2020-05-09,129,7768.0,4394.0
130,2020-05-10,130,7151.0,4915.0
131,2020-05-11,131,12646.0,6277.0
132,2020-05-12,132,11693.0,5516.0
133,2020-05-13,133,12301.0,5464.0
134,2020-05-14,134,10963.0,4772.0
135,2020-05-15,135,12769.0,5475.0
136,2020-05-16,136,7806.0,4589.0
137,2020-05-17,137,7743.0,4266.0
138,2020-05-18,138,13597.0,6081.0
139,2020-05-19,139,11669.0,4851.0
140,2020-05-20,140,12083.0,5129.0
141,2020-05-21,141,11669.0,4573.0
142,2020-05-22,142,10693.0,4774.0
143,2020-05-23,143,6906.0,4018.0
144,2020-05-24,144,6506.0,3670.0
145,2020-05-25,145,8344.0,4942.0
146,2020-05-26,146,13323.0,4957.0
147,2020-05-27,147,11378.0,4831.0
148,2020-05-28,148,9961.0,4532.0
149,2020-05-29,149,10576.0,4707.0
150,2020-05-30,150,6899.0,4191.0
151,2020-05-31,151,6177.0,3801.0
152,2020-06-01,152,10744.0,6420.0
153,2020-06-02,153,10696.0,5035.0
154,2020-06-03,154,9894.0,5096.0
155,2020-06-04,155,9411.0,4718.0
156,2020-06-05,156,9816.0,5324.0
157,2020-06-06,157,7029.0,4737.0
158,2020-06-07,158,5806.0,4273.0
159,2020-06-08,159,10394.0,6516.0
160,2020-06-09,160,10316.0,5542.0
161,2020-06-10,161,11789.0,6081.0
162,2020-06-11,162,9734.0,5394.0
163,2020-06-12,163,13873.0,6185.0
164,2020-06-13,164,8775.0,5727.0
165,2020-06-14,165,8860.0,5598.0
166,2020-06-15,166,14270.0,8716.0
167,2020-06-16,167,13044.0,7501.0
168,2020-06-17,168,14256.0,7791.0
169,2020-06-18,169,13646.0,7220.0
170,2020-06-19,170,14199.0,7625.0
171,2020-06-20,171,18450.0,7671.0
172,2020-06-21,172,19002.0,7306.0
173,2020-06-22,173,17223.0,10483.0
174,2020-06-23,174,17002.0,9175.0
